,Title,Title_Synonym,Title_Japanese,Status,Volumns,Chapters,Publishing,Rank,Score,Scored_by,Popularity,Memebers,Favorites,Synopsis,Publish_period,Genre
151,Blade of the Immortal,Blade of the Immortal,無限の住人,Finished,30.0,207.0,False,155,8.43,14535,180,56703,2346,"Manji is an infamous swordsman in feudal Japan who is known as the ""Hundred Man Killer,"" as he has killed one hundred innocent men. However, there is something far more frightening than his ominous reputation: the fact that he is immortal. This is the handiwork of eight-hundred-year-old nun Yaobikuni, who placed bloodworms capable of healing almost any wound in Manji's body. To atone for his crimes, Manji resolves to kill one thousand evil men. Yaobikuni agrees to this proposal, saying that if he succeeds, she will undo his curse of immortality. Soon after this promise, Manji meets Rin Asano, a 16-year-old girl who requests Manji's assistance in killing those who slaughtered her parents. Initially reluctant, Manji refuses Rin's desperate plea. However, owing to her evident lack of strength, Manji changes his mind and agrees to protect Rin for four years. With this partnership set in stone, the two embark on a perilous journey of bloodshed, vengeance, and redemption, each to fulfill their own life's cause. [Written by MAL Rewrite] Note: Originally published with 219 chapters, which were then recollected into 207 chapters in the tankoubons. Please do not change the chapter count.","Jun  25, 1993 to Dec  25, 2012","'Action', 'Adventure', 'Drama', 'Historical', 'Martial Arts', 'Samurai', 'Supernatural', 'Seinen'"
152,Gunnm,Battle Angel Alita,銃夢 GUNNM,Finished,9.0,53.0,False,156,8.43,21063,162,61335,3776,"The utopian metropolis of Zalem soars high in the skies, its presence dominating the horizon. Beneath it is the noxious underbelly known as The Scrapyard, where the city stockpiles all of its waste. Living amongst the vast heaps of garbage are humans and cyborgs, surviving by any means necessary. Daisuke Ido, a doctor specializing in cyborg repairs, finds the head of a young female cyborg while scavenging a pile of old android parts. Proceeding to build her a new body, he names her Gally. Upon activation, Gally does not seem to remember anything about her past life. Nonetheless, she does not seem to mind as long as she stays by Ido’s side. However, she soon discovers that Ido has a side job as a hunter-warrior, a bounty hunter working for The Scrapyard’s government. Despite Ido’s warning, she decides to become one herself, awakening her forgotten knowledge of fighting techniques. Equipped with newfound strength, Gally is determined to fight through the alleys of The Scrapyard and beyond, retrieving fragments from her past to rediscover her true identity. [Written by MAL Rewrite]",Nov  1990 to Mar  1995,"'Action', 'Sci-Fi', 'Seinen'"
153,Ping Pong,unkown,ピンポン,Finished,5.0,55.0,False,154,8.43,3881,1117,12225,400,"Makoto Tsukimoto (nicknamed Smile) is a quiet high schooler who's been friends with the loud and energetic Yutaka Hoshino (nicknamed Peco) since childhood. They're both in the local table tennis club and both have a natural talent for it, although Smile's personality always prevents him from winning against Peco. The club teacher, however, notices Smile's talent and tries to make him gain some sportive tenacity. (Source: ANN, edited)",1996 to  1997,"'Drama', 'Sports', 'Psychological', 'Seinen'"
154,Rainbow: Nisha Rokubou no Shichinin,unkown,RAINBOW 二舎六房の七人,Finished,22.0,235.0,False,158,8.43,5561,611,20292,589,"Six minors (16 or 17 years) answering to the nicknames of Joe, Mario, Suppon, Baremoto, Heitai and Kyabetsu are put into a reformatory for offences such as aggravated assault, swindle, flight, etc. Their stay in hell begins immediately. Accommodated by a doctor paedophile, they are placed under the monitoring of a despotic and brutal crew. Companions of cell of certain Sakuragi (called Anchan), the tension flares up between the band of buddies and their new ""friend."" A brawl breaks out and our six prisoners are done rossés by mysterious young man thanks to his boxing talent. The story will not only follow the lives of these seven characters surviving in their hellish environment, but also their disillusions due to the rejection by the outside world and by their close relations. This is about the extraodinary and invincible friendships between these young men.","Nov  21, 2002 to Jan  4, 2010","'Drama', 'Historical', 'Psychological', 'Seinen'"
155,Kusuriya no Hitorigoto,The Apothecary Diaries,薬屋のひとりごと,Publishing,unkown,unkown,True,158,8.43,6319,572,21450,784,"In an imperial court in ancient China, it has been a few months since a 17-year-old girl known as Maomao was kidnapped and forced to work as a low-level servant at the emperor's palace. Still, she manages to retain her curious and pragmatic spirit, planning to work until her years of servitude are over. One day, however, she catches wind of the fact that the emperor's two infants have fallen gravely ill. She decides to secretly take action, drawing on her experience as a pharmacist raised in the poor red-light district. Despite Maomao's attempts to remain anonymous, she soon catches the eye of Jinshi, an influential eunuch who recognizes her talents. Maomao soon finds herself in the emperor's inner court, where she gradually makes a name for herself by utilizing her knowledge and eccentric personality to solve various medical mysteries. [Written by MAL Rewrite]","May  25, 2017 to present","'Drama', 'Historical', 'Seinen'"
156,The Breaker: New Waves,unkown,브레이커NW,Finished,20.0,203.0,False,152,8.43,44718,115,79191,4093,"After Yi ""Shioon"" Shi-Woon's master, Goomoonryong, breaks his ki-center, leaving him unable to use his martial arts, he decides to leave the world of Murim and continue on with his normal life: going to school and coming home to his mother every day. However, Murim has other ideas. Discovered as the only true disciple of Goomoonryong and entrusted with the Phoenix Medallion of the Sunwoo Clan by Lady Sosul—making him the interim leader of the Sunwoo Clan—the world of Murim is not so eager to let Shioon leave. With his new status, enemies Shioon has never encountered before keep appearing before him, such as the organization known as Soldiers Under Command. They are intent on getting rid of him for the sake of their own prosperity, but how will Shioon defend himself without his ki-center intact? [Written by MAL Rewrite]","Oct  8, 2010 to May  8, 2015","'Action', 'Comedy', 'Drama', 'Martial Arts', 'Romance', 'School'"
157,No.6,unkown,NO.6 (ナンバー・シックス),Finished,9.0,43.0,False,153,8.43,4811,694,18161,949,"The year is 2013 in the city of No. 6, the city that embodies the highest ideals of humankind. Shion has been raised here as a high-ranking elite since the age of two, but on the night of his twelfth birthday his fate is turned upside-down when he meets a boy who calls himself Nezumi. ""Why did I open the window that night? If I had not, I'd never have needed to know what it is like to fight, starve, or suffer in anguish...."" (Source: Nostalgia on 9th Avenue)","Oct  10, 2003 to Jun  14, 2011","'Action', 'Mystery', 'Sci-Fi'"
158,Bungou Stray Dogs,Bungo Stray Dogs,文豪ストレイドッグス,Publishing,unkown,unkown,True,154,8.43,16169,187,55076,3550,"Atsushi Nakajima is on the brink of death after being kicked out of his orphanage. With no food and nowhere to go, all hope seems lost—until he saves a mysterious man called Osamu Dazai from drowning. Much to his partner Doppo Kunikida's irritation, Dazai offers Atsushi a meal and reveals they work for the Armed Detective Agency, an organization of gifted individuals who take care of criminal cases the authorities cannot. The two ask Atsushi for his assistance in tracking down a supernatural tiger that has been wreaking havoc throughout the city, and he reluctantly agrees. After they resolve the case, Dazai offers him a position in the agency. But the job is about to get a lot more dangerous as the Port Mafia, the local crime syndicate, begins to move against them. Caught in the middle of a turf war, Atsushi must master his newfound special ability in order to protect himself, his new friends, and the entire city. [Written by MAL Rewrite]","Dec  4, 2012 to present","'Action', 'Supernatural', 'Seinen'"
159,Youjo Senki,The Saga of Tanya the Evil,幼女戦記,Publishing,unkown,unkown,True,160,8.42,3503,748,16934,656,"Tanya Degurechaff is a soldier who has the appearance of an innocent young girl. But behind her cute facade lies the soul of a ruthless salaryman who challenged ""Being X""—the self-proclaimed God who reincarnated the man into an industrial world of magic. By doing this, Being X hopes to prove that, if the situation were dire enough, even a non-believer like this man would pray for God's help. Opposing Being X's desires to make her suffer, Tanya enlists in the military with the hope of living a peaceful life. She manages to impress the higher-ups with her aptitude for war, swiftly rising through the ranks. However, her country soon participates in the ongoing world war, quickly crushing her dream. In an attempt to return to her calm she starts using any merciless means to obliterate her opponents. Thus begins the saga of Tanya the Evil and the Empire as they seek world domination. [Written by MAL Rewrite]","Oct  31, 2013 to present","'Magic', 'Military'"
160,Kimi no Na wa.,Your name.,君の名は。,Finished,3.0,9.0,False,161,8.42,22468,166,60993,1145,"Mitsuha Miyamizu is a high school girl living in the countryside town of Itomori. She yearns for a life in Tokyo as she is sick of living in the countryside. At the same time, Taki Tachibana, a high school student, lives in Tokyo and has a great interest in architecture, aiming to become an urban planner in the near future. One day, Mitsuha dreams of herself as a boy living a life in the dense capital, while Taki dreams of living as a girl in the rural town of Itomori. As time passes by, the two discover that these are not just dreams, but that they actually swap bodies upon falling asleep! Kimi no Na wa. revolves around Mitsuha and Taki as they experience the supernatural. With both of them working together to deal with the strange phenomenon, how will this impact their everyday life? [Written by MAL Rewrite]","May  27, 2016 to Jan  27, 2017","'Drama', 'Romance', 'School', 'Supernatural', 'Seinen'"
161,Spirit Fingers,unkown,스피릿 핑거스,Finished,13.0,163.0,False,169,8.42,1412,3734,3786,166,​An ordinary girl... joins an extraordinary drawing club?! A story of finding one's true colors. (Source: MU),"May  16, 2015 to Jul  21, 2018","'Comedy', 'Romance', 'Slice of Life'"
162,Kimi wa Houkago Insomnia,Insomniacs After School,君は放課後インソムニア,Publishing,unkown,unkown,True,170,8.42,2353,1507,9211,317,"It all started with the death of one of the Astronomy Club's members. From this, the rumored ghost of the club came to life. Grumpy insomniac Ganta Nakami stumbles across the moderately rebellious yet easygoing Isaki Magari in the Astronomy Club's abandoned observatory. Magari is jolted awake and tries to escape from the scene, only to have a broken door prevent that, forcing the two inside. The two forge an unlikely friendship, leading them to use the observatory as a safe space for them to interact. Kimi wa Houkago Insomnia follows the insomniacs Nakami and Magari's time in the starlit observatory as they help each other cope with insomnia and the lasting effects it has on student life. [Written by MAL Rewrite]","May  20, 2019 to present","'School', 'Slice of Life', 'Seinen'"
163,21st Century Boys,21st Century Boys,21世紀少年,Finished,2.0,16.0,False,162,8.42,29032,189,54289,527,"As the conflict between Kenji Endo, his childhood friends, and cult leader ""Friend"" comes to an end, two mysteries remain—Friend's true identity and whether the threat of an ""anti-photon bomb"" before his death was legitimate. Hoping to find an answer, Kenji, alongside the United Nations, decides to use a virtual reality program created from Friend's childhood memories in this conclusion to a long journey that will span dozens of decades. [Written by MAL Rewrite]","Dec  25, 2006 to Jul  14, 2007","'Mystery', 'Drama', 'Sci-Fi', 'Psychological', 'Seinen'"
164,Glass no Kamen,unkown,ガラスの仮面,Publishing,unkown,unkown,True,164,8.42,2214,1592,8767,338,"Maya Kitajima is a good-for-nothing girl with a passion and talent for acting. After watching a play only once, Maya can immediately perfectly imitate the performance word-by-word. This talent leads her to one day be discovered by Chigusa Tsukikage, a once-famous actress who performed and owned the rights to the play called ""The Crimson Goddess."" Considered to be a legendary play, The Crimson Goddess attracts the attention of many, including Masumi Hayami, a wealthy businessman who is also a secret admirer of Maya. Another one interested in the play is Maya's rival, Ayumi Himekawa, a gifted individual whose veteran parents trained her in acting since childhood. Glass no Kamen follows Maya and Ayumi as they climb their way through the relentless world of entertainment, overcoming intense training and challenges to become actresses worthy of playing the role of The Crimson Goddess. [Written by MAL Rewrite]",Jan  1976 to present,"'Drama', 'Romance', 'Shoujo'"
165,Juuni Kokuki,The Twelve Kingdoms,十二国記,Publishing,unkown,unkown,True,165,8.42,1054,1970,7148,185,"Beyond this world lies the realm of the Twelve Kingdoms. There, the laws of nature are governed by the Way—a moral code established by the Mandate of Heaven—that causes kingdoms to be ravaged by war and famine when an unsuitable ruler is upon the throne. Babies are born from eggs on trees, and mythical creatures roam the land. When a temporary breach is created between that world and Japan, Youko Nakajima is dragged from her mundane daily life as a high school student and finds herself in a situation far less appealing than that of a fairytale. Once a model student who always conformed to societal pressures, she is now abandoned and pursued by men and beasts alike in the wilds of a land unbound by any earthly sense of order. Struggling to come to terms with these strange new laws as well as the lack of kindness in the people around her, Youko must learn to make her own choices if she is to survive with any sense of integrity. Fantastical and heavily detailed, Juuni Kokuki tells the stories of Youko and other individuals forced to find themselves as they are thrust into an unforgiving and coldly beautiful world. [Written by MAL Rewrite]","Jun  20, 1992 to present",'Fantasy'
166,My Girl,My Girl,マイガール,Finished,5.0,44.0,False,166,8.42,8056,533,23095,582,"Twenty-three-year-old Masamune Kazama spends his days working a mundane office job and dwelling on the past. Although it has been five years, the young bachelor continues to hold onto his relationship with his past girlfriend, Youko Tsukamoto. Out of the blue, he receives a call from Youko's mother, who informs him that she has passed away in an accident. Furthermore, he learns that Youko has left him with a young daughter, who was raised in secrecy overseas. Stricken with grief, Masamune decides to take in the young girl and raise her on his own. My Girl is a tale of family, loss, and acceptance as Masamune navigates the complexities of daily life as a single father. [Written by MAL Rewrite]","Jun  2, 2006 to Sep  3, 2010","'Drama', 'Slice of Life', 'Seinen'"
167,Bakuman.,Bakuman。,BAKUMAN。 バクマン。,Finished,20.0,176.0,False,167,8.42,72352,40,145250,10449,"Despite being a talented artist, middle school student Moritaka Mashiro is unsure about his future, accepting that he will simply lead a normal life. After seeing one of Mashiro's drawings in class, Akito Takagi—an aspiring writer—insists that they write a manga together. But Mashiro is hesitant—his uncle, a mangaka, had died from overworking just a few years prior. However, when Mashiro hears that his crush, Miho Azuki, aims to be a voice actress, he becomes determined to create a manga that can be adapted into an anime for her to star in. Reciprocating Mashiro's feelings, she agrees to get married once they have both achieved their dreams. Bakuman. chronicles Mashiro and Takagi's successes and struggles in their attempts to be serialized in Weekly Shounen Jump and become famous mangakas. Will their gamble pay off, or will they join the countless number of failures? [Written by MAL Rewrite]","Aug  11, 2008 to Apr  23, 2012","'Comedy', 'Drama', 'Romance', 'Shounen'"
168,Hoshi no Samidare,Lucifer and the Biscuit Hammer,惑星のさみだれ,Finished,10.0,65.0,False,168,8.42,18504,238,45365,2996,"One day, college student Yuuhi Amamiya is approached by talking lizard Sir Noi Crezant. Crezant immediately launches into a fantastical story: the powerful mage Animus intends to destroy the earth with his biscuit hammer, a huge contraption looming high in earth’s orbit. Earth’s only hope lies with the princess and her Beast Knights, whose task is to protect the princess and defeat Animus. Yuuhi is chosen as the Lizard Beast Knight, and despite his misgivings, is quickly forced to defend himself from a golem created by the mage. He is saved by his neighbor, the princess Asahina Samidare, and swears loyalty to her. However, the princess does not intend to save the earth at all. She lets Yuuhi in on her real motivations: to prevent Animus from destroying the earth, only to then annihilate the planet by her own hand. The pair continue to fight off attacks by Animus’s golems while the remaining Beast Knights are slowly being gathered and learning to use their powers. But Yuuhi will have to decide for himself whether to go along with Asahina’s plans, whom he is getting close with, or to save the earth. In the process, he must also confront his true self, and determine where his loyalties truly lie. [Written by MAL Rewrite]","Jun  30, 2005 to Aug  30, 2010","'Action', 'Adventure', 'Comedy', 'Drama', 'Psychological', 'Seinen'"
169,Basara,Basara,BASARA,Finished,27.0,112.0,False,173,8.41,5332,744,17027,695,"Sarasa grew up knowing that her twin brother Tatara was prophesied to be the ""boy of destiny,"" the one who would overthrow the oppressive government and unite the people. When Tatara dies in battle, however, Sarasa realizes that it's up to her to secretly take on her brother's identity. On the way, Sarasa meets and falls in love with the mysterious Shuri, who may also have something up his sleeve. Together, she and her group of ragtag fighters journey across the land, attacking the many rulers and hoping to someday reach the leader of them all, the Red King.","Aug  11, 1990 to May  13, 1998","'Adventure', 'Drama', 'Fantasy', 'Romance', 'Shoujo'"
170,Doraemon,Doraemon,ドラえもん,Finished,45.0,821.0,False,163,8.42,5462,1319,10563,748,"Doraemon is cat shaped robot from the future traveling all the way back to the 20th century in order to help Nobi Nobita, a lazy kid with nothing really going for him. Nobi is bad at sports, his grades are terrible, he can't even win a match of rock-paper-scissors. Doraemon has a hard task ahead of him but he is well prepared with a huge arsenal of the most inventive and funny gadgets available. The problem is he's not the most competent robot cat helper out there either and the pair gets in constant trouble because of it. Thus begins one of the most interesting friendships ever to appear in a manga series.",Dec  1969 to  1996,"'Adventure', 'Comedy', 'Kids', 'School', 'Sci-Fi', 'Shounen', 'Slice of Life'"
171,SQ: Begin W/Your Name!,unkown,SQ从你的名字开始,Finished,1.0,9.0,False,171,8.41,16772,244,44733,1845,"The funny romantic story of how Qiu Tong and Sun Jing met and fell in love. Note: this entry is for the published volume and not the ongoing webcomic. Please, do not submit any changes.","Oct  5, 2015","'Comedy', 'School', 'Shoujo Ai', 'Slice of Life'"
172,Wind Breaker,Wind Breaker,윈드 브레이커,Publishing,unkown,unkown,True,172,8.41,4042,1203,11502,565,"Jo Ja-Hyun (Jay) is the student president of Taeyang (Sunny) High. He is not just a smart student but an extreme biker with high techniques. As you follow his bike, you will meet his friends, love, and adventures. (Source: MU)","Dec  15, 2013 to present","'Action', 'Drama', 'Sports'"
173,Dragon Ball,Dragon Ball,ドラゴンボール,Finished,42.0,520.0,False,174,8.4,74314,59,119792,11395,"Dragon Ball series follows the adventures of Son Goku from his childhood through adulthood as he trains in martial arts and explores the world in search of the seven mystical orbs known as the Dragon Balls, which can summon a wish-granting dragon when gathered. Along his journey, Goku makes several friends and battles a wide variety of villains, many of whom also seek the Dragon Balls for their own desires. Along the way becoming the strongest warrior in the universe. (Source: Wikipedia)","Nov  20, 1984 to May  23, 1995","'Action', 'Adventure', 'Comedy', 'Martial Arts', 'Sci-Fi', 'Shounen', 'Super Power'"
174,Kiseijuu,Parasyte,寄生獣,Finished,10.0,64.0,False,175,8.4,39756,108,81911,3692,"""Parasites"" are tennis ball sized creatures, whose numbers and origins are unknown. They invade and take over the human mind in order to survive. Shinichi Izumi is a 16-year-old high school student who lives with his parents in a quiet neighborhood. One night, a Parasite invades Shinichi's body in an attempt to take control of it. However, it fails to complete the takeover process and ultimately ends up inhabiting only his right arm. Thus, both Shinichi and the Parasite—who calls himself Migi—retain their individual minds. Now in a peculiar ""human and alien"" relationship, Migi proposes that they cooperate to survive. Shinichi has no choice but to agree, and he must now cling to his morality as he and Migi face off against other bloodthirsty Parasites. [Written by MAL Rewrite]","Nov  22, 1989 to Dec  23, 1995","'Action', 'Drama', 'Horror', 'Sci-Fi', 'Psychological', 'Seinen'"
175,Shin Angyo Onshi,Blade of the Phantom Master,新暗行御史,Finished,17.0,76.0,False,176,8.4,9183,417,29346,1181,"In Jushin, there once lived secret government agents called the amen osa (or angyō onshi in the Japanese version), who traveled the countryside in disguise. They were charged by the king with finding and punishing corrupt government officials, and bringing justice to the country's citizens. (Source: Wikipedia)","Mar  19, 2001 to Aug  18, 2007","'Action', 'Adventure', 'Drama', 'Fantasy', 'Historical', 'Supernatural', 'Seinen'"
176,Kaichou wa Maid-sama!,Maid-sama!,会長はメイド様！,Finished,18.0,98.0,False,177,8.4,70297,45,136250,8548,"Seika High School was an all-boys school, but it has since turned co-ed. Misaki Ayuzawa is the first female student council president of the school, eventually earning the nickname of the ""Demon President"" due to her mastery of Aikido and imposed iron rule. However, Misaki harbors an embarrassing secret—she has to work at a maid café to support her family. If anybody from her school was to find out, her reputation would be utterly destroyed. And after Takumi Usui—the most popular boy at school—discovers her secret, that might just happen. Kaichou wa Maid-sama! follows their story as they spend more time together and eventually begin to understand each other's secrets. [Written by MAL Rewrite] Included one-shot: Volume 1: Toumei na Sekai (Transparent World)","Dec  24, 2005 to Sep  24, 2013","'Comedy', 'Romance', 'School', 'Shoujo'"
177,Tobaku Mokushiroku Kaiji,Gambling Apocalypse Kaiji,賭博黙示録カイジ,Finished,13.0,158.0,False,178,8.4,3602,1120,12207,303,"Itou Kaiji is a bum who steals car emblems and slashes tires on what seems to be a regular basis. This routine changes one day when he is paid a visit by a man in a trench-coat. Once the two get talking, it seems that the visitor (Calling himself Endou) is a debt collector. The reason for his visit is an unpaid loan which kaiji had previously co-signed for a work-mate (Furuhata Takeshi). The original loan was 30000 yen and once Takeshi had disappeared, the loan then fell on Kaiji. Kaiji is then told of a way to clear the interest compounded debt (which stood at 3,850,000 yen), which involved getting on a boat with others in his position. Once on the boat the debtors would then have to gamble with loaned money, which would end with a few winning, and others getting into deeper debt and having to work to pay of their debts. After some coercing kaiji accepts a position on the boat, in order to clear himself and make a bit of money as well... (Source: AniDB)","Feb  10, 1996 to Jul  26, 1999","'Drama', 'Game', 'Seinen'"
178,Billy Bat,unkown,BILLY BAT,Finished,20.0,165.0,False,179,8.4,9815,346,34679,1210,"Japanese-American Kevin Yamagata now authors the renowned detective comic book ""Billy Bat"" after serving in the Allied Forces in World War II. But as his series becomes a massive hit, Kevin discovers that his famed character, Billy Bat, already existed before within a Japanese comic. Worried that he may have unconsciously copied something he saw during his time there, Kevin returns to Japan to find Billy Bat's original creator and seek permission for him to use their character. However, as he traces back Billy Bat's roots, he finds himself unraveling a dark and twisted history of murders that somehow involve the character he thought he created. [Written by MAL Rewrite]","Oct  16, 2008 to Aug  18, 2016","'Mystery', 'Drama', 'Historical', 'Supernatural', 'Police', 'Psychological', 'Seinen'"
179,Toaru Majutsu no Index,A Certain Magical Index,とある魔術の禁書目録,Finished,22.0,133.0,False,180,8.4,7968,491,24750,1561,"Despite 80% of its 2.3 million population being students, Academy City is far more advanced than any other nation worldwide. Its residents awaken something akin to a supernatural ability inside them, which is then ranked from Level 0 to 5. Along the lines lies Touma Kamijou, a powerless Level 0 esper. While his abilities are recognized as useless, he possesses a mysterious phenomenon known as ""Imagine Breaker,"" which allows his right hand to nullify any supernatural powers upon coming in contact with them. Despite that, he claims to have rotten luck due to the misfortunes that frequently happen to him. One day, a girl calling herself Index Librorum Prohibitorum mysteriously lands on Touma's balcony and explains to him that she is being hunted down by magicians. This leads the powerless boy to discover a whole new world—one where magic exists. With Touma facing the problems that arise from both the scientific and magical sides of the world, how will he resolve them? [Written by MAL Rewrite]","Apr  10, 2004 to Oct  10, 2010","'Action', 'Comedy', 'Fantasy', 'Magic', 'Sci-Fi', 'Super Power', 'Supernatural'"
180,Boku dake ga Inai Machi,ERASED,僕だけがいない街,Finished,9.0,49.0,False,181,8.4,33502,132,72530,2947,"Satoru Fujinuma is a 29-year-old who works part-time as a pizza deliveryman in order to make ends meet due to his unsuccessful career as a mangaka. But there is more to this struggling adult than meets the eye, as he possesses a mysterious ability which takes him back in time right before a life-threatening incident occurs. When ""Revival,"" as he calls it, triggers, it will continue to send him back again and again until he is able to save the lives of the individuals involved. But Satoru's life is about to take a turn for the worse when a loved one is killed by an unknown man and he is framed for the crime. Desperate to get away so that he can assess his situation, he is inexplicably sent 18 years into the past—right before the disappearance and death of his classmate, Kayo Hinazuki, an event that has plagued him since childhood. Satoru, now an elementary school student, must get his wits together and save the young girl from an untimely demise by figuring out the identity of the person responsible. But just how is Kayo's murder connected to the present? [Written by MAL Rewrite]","Jun  4, 2012 to Nov  4, 2016","'Mystery', 'Supernatural', 'Psychological', 'Seinen'"
181,Umineko no Naku Koro ni Chiru - Episode 6: Dawn of the Golden Witch,Umineko WHEN THEY CRY Episode 6: Dawn of the Golden Witch,うみねこのなく頃に散 Episode 6: Dawn of the Golden Witch,Finished,6.0,26.0,False,182,8.39,3503,1703,8198,164,"Now that Battler's found the truth, he's become the next game master. In order to prove to Bernkastel and Lambdadelta that he understands all of Beatrice's previous tricks, he's built a game board of his own and now has to face off against Erika once again.","Nov  18, 2010 to Nov  17, 2012","'Mystery', 'Drama', 'Horror', 'Magic', 'Shounen', 'Supernatural'"
182,Ballroom e Youkoso,Welcome to the Ballroom,ボールルームへようこそ,Publishing,unkown,unkown,True,183,8.39,9561,406,30337,1069,"With no particular dreams or plans for the future, third-year middle schooler Tatara Fujita yearns to find something that he can pursue wholeheartedly. Initially often bullied and extorted for his lack of confidence, Tatara's life changes when he is saved from delinquents by a man named Kaname Sengoku. His savior, a motorcycle-riding dance instructor, proceeds to drag Tatara to Ogasawara Dance Studio, mistakenly believing that the boy was looking at the studio's flyer. Tatara is then partnered with his schoolmate and skilled dancer Shizuku Hanaoka when he agrees to a trial lesson. The next day after being bullied and only to be saved yet again, he asks the studio to teach him dancing in hopes of changing his image. Now entering a bright and fast-paced new world, Tatara dedicates his time to dancing as he sweeps over the dance hall. [Written by MAL Rewrite]","Nov  5, 2011 to present","'Comedy', 'Drama', 'Romance', 'School', 'Shounen', 'Sports'"
183,Shadows House,unkown,シャドーハウス,Publishing,unkown,unkown,True,185,8.39,3634,909,14445,664,"Emilico is just one of many ""Living Dolls"" serving in the Shadows House, residents of which are pitch black from head to toe and constantly leak soot that stains the house black. Each ""Shadow"" is partnered with a Doll, which strangely resembles the other. As a Living Doll, Emilico must keep the house sparkling clean as well as act as the face for her master, Kate. In turn, Kate supports Emilico and treats her as her confidant. As far as either of them can remember, this has always been the way their world works. However, the bond between a Shadow and a Doll isn't quite clear. Administrators watch over the young pairs from the higher levels of the mansion and judge them—but for what purpose? [Written by MAL Rewrite]","Sep  6, 2018 to present","'Slice of Life', 'Supernatural', 'Seinen'"
184,Machida-kun no Sekai,The world of Machida-kun,町田くんの世界,Finished,7.0,28.0,False,186,8.39,7628,700,18027,605,"Hajime Machida, despite being a completely average teenager, is adored by his family, friends, and even his classmates. His kind and helpful nature leads to special encounters on a daily basis, whether it be with his younger siblings at home or just someone he meets on the street. Through these interactions and brand new experiences, Machida begins to learn more about himself and the differences between the various types of love. [Written by MAL Rewrite] Included one-shot: Volume 3: Ai, Aru Seikatsu","Jun  13, 2013 to Apr  13, 2018","'School', 'Shoujo'"
185,Tensei shitara Slime Datta Ken,That Time I Got Reincarnated as a Slime,転生したらスライムだった件,Publishing,unkown,unkown,True,187,8.39,36102,93,88652,4421,"It is just another ordinary day for Satoru Mikami. The sun is shining brightly on the streets of Tokyo, and he is in the midst of a discussion with his colleagues when suddenly he gets stabbed by a passing robber. The average 37-year-old corporate worker is now at death's door, and he has only one regret—dying a virgin. Fading out, he is startled by a mysterious AI-like voice reciting commands. Satoru abruptly wakes up in the middle of a strange cave, but something odd has happened: he is now a goop of slime! Thanks to his new body, he has acquired the skill to absorb anything and obtain its appearance and abilities. While testing out his newfound powers and exploring the cave, he stumbles upon a massive dragon named Veldora, who has been sealed away for the past three hundred years. After quickly befriending the beast, Satoru decides to help him escape; in exchange, Satoru is bestowed a new name: ""Rimuru Tempest."" Wishing to avoid a life like his boring and mundane past, Rimuru is about to set out on a grand quest that will change his own destiny and the fate of his new world. [Written by MAL Rewrite]","Mar  26, 2015 to present","'Fantasy', 'Shounen'"
186,xxxHOLiC,xxxHOLiC,xxxHOLiC,Finished,19.0,213.0,False,184,8.39,29315,144,68809,4587,"Living alone after his parents passed away, Kimihiro Watanuki is a high school student who can see otherworldly creatures that are attracted to him. His days are plagued by these nuisances, and he wishes to rid himself of this inconvenience. One fateful day, as Kimihiro is being chased by a horde of spirits, his feet bring him into a mysterious store to seek shelter. Here he meets Yuuko Ichihara, the mistress of this supposed store, who claims to be able to grant wishes. Yuuko offers to grant Kimihiro's, as long as he pays an appropriate price. Thus begins Kimihiro's time working in her store to earn the payment necessary for his wish. In Yuuko's employ, he must become further involved with spirits and the supernatural before he can leave that world behind. How will he fare in the inexplicable encounters that await him? [Written by MAL Rewrite]","Feb  24, 2003 to Feb  9, 2011","'Comedy', 'Mystery', 'Drama', 'Magic', 'Supernatural', 'Seinen'"
187,Cardcaptor Sakura,Cardcaptor Sakura,カードキャプターさくら,Finished,12.0,50.0,False,192,8.38,27532,196,53010,3412,"""Herein lie the Clow Cards—if their seal is broken, disaster shall befall this world..."" Sakura Kinomoto is an energetic and sweet 10-year-old girl attending Tomoeda Elementary School. One day not long after entering the fourth grade, Sakura finds a mysterious book titled ""The Clow"" hidden within her father's bookshelves. Upon opening it, a small, winged creature with an Osakan accent comes out of the book and introduces itself as Keroberos, the Creature of the Seal who guards magical cards known as the Clow Cards and keeps them from escaping the book. Unfortunately for the plushy guardian, it seems that the Clow Cards have already escaped—and now Sakura is tasked with capturing them before the cards unleash their powers and cause havoc all over Tomoeda! With the support of the tiny guardian who she nicknames ""Kero"" and her best friend Tomoyo Daidouji, Sakura must wield a magical bird-shaped key and use her new powers as the Cardcaptor to maintain peace and ensure that everything is alright. [Written by MAL Rewrite]","May  2, 1996 to Jul  3, 2000","'Adventure', 'Comedy', 'Fantasy', 'Magic', 'Romance', 'Shoujo'"
